OrderID,CustomerName,Product,Category,Quantity,Price,OrderDate,Shipped,Country
1001,John Smith,Laptop,Electronics,1,1200.0,2024-06-01,Yes,USA
1002,Alice Johnson,Keyboard,Electronics,2,75.5,2024-06-01,No,Canada
1003,Robert Brown,T-Shirt,Apparel,5,25.0,2024-06-02,Yes,UK
1004,Emily Davis,Coffee Maker,Home Goods,1,89.99,2024-06-03,Yes,usa
1005,Michael Wilson,Mouse Pad,Electronics,10,10.0,2024-06-03,Yes,Germany
1006,Jessica Lee,Running Shoes,Apparel,1,110.0,2024-06-04,Yes,France
1007,David Chen,Blender,Home Goods,1,55.5,2024-06-04,No,USA
1008,Sarah Miller,Monitor,Electronics,2,300.0,2024-06-05,Yes,Canada
1009,Daniel Garcia,Jeans,Apparel,3,45.0,2024-06-05,Yes,UK
1010,Laura Rodriguez,Desk Lamp,Home Goods,1,35.0,2024-06-06,No,germany
1011,James Lopez,Webcam,Electronics,4,49.99,2024-06-07,Yes,France
1012,Maria Hernandez,Socks,Apparel,12,8.5,2024-06-07,Yes,USA
1013,Thomas White,Toaster,Home Goods,1,39.99,2024-06-08,Yes,Canada
1014,Chloe King,External Drive,Electronics,1,85.0,2024-06-09,Yes,UK
1015,Kevin Scott,Sweater,Apparel,2,65.0,2024-06-10,No,U.S.A
1016,Olivia Green,Picture Frame,Home Goods,6,15.0,2024-06-11,Yes,Germany
1017,Ethan Hall,Smartwatch,Electronics,1,199.99,2024-06-12,Yes,France
1018,Isabella Baker,Dress,Apparel,1,79.99,2024-06-13,Yes,Canada
1019,Noah Adams,Headphones,Electronics,3,150.0,2024-06-13,No,UK
1020,Ava Perez,Pillow,Home Goods,4,20.0,2024-06-14,Yes,USA
1021,Ryan Clark,Book,Media,5,18.0,2024-06-14,Yes,Australia
1022,Grace Foster,USB Cable,Electronics,15,5.99,2024-06-15,Yes,USA
1023,Henry Bell,Gloves,Apparel,2,22.0,2024-06-15,No,Canada
1024,Lily Scott,Mug,Home Goods,4,12.5,2024-06-16,Yes,UK
1025,Andrew Harris,Software,Electronics,1,99.99,2024-06-17,No,USA
1026,Victoria Reed,Jacket,Apparel,1,130.0,2024-06-17,Yes,Germany
1027,Samuel Ortiz,Candle Set,Home Goods,2,28.0,2024-06-18,Yes,France
1028,Sofia Perez,Charging Dock,Electronics,1,45.0,2024-06-18,Yes,USA
1029,Gabriel King,Hat,Apparel,3,20.0,2024-06-19,No,Canada
1030,Hannah Young,Book,Media,2,18.0,2024-06-20,Yes,UK
1031,Isaac Nelson,Speakers,Electronics,1,150.0,2024-06-20,Yes,USA
1032,Natalie Cruz,Scarf,Apparel,4,15.0,2024-06-21,Yes,Germany
1033,William Flores,Storage Bin,Home Goods,3,18.0,2024-06-22,No,France
1034,Chloe King,External Drive,Electronics,1,85.0,2024-06-09,Yes,UK
1035,Logan Walker,Sweater,Apparel,-2,65.0,2024-06-23,No,USA
1036,Mason Gray,Router,Electronics,1,79.99,2024-06-24,Yes,Canada
1037,Olivia Green,Picture Frame,Home Goods,6,15.0,2024-06-11,Yes,Germany
1038,Ethan Hall,Smartwatch,Electronics,1,199.99,2024-06-12,Yes,France
1039,Sophia Lopez,Pants,Apparel,2,55.0,2024-06-25,Yes,U.S.A
1040,Jacob Hill,Monitor,Electronics,1,280.0,2024-06-26,Yes,USA
1041,Ava Perez,Pillow,Home Goods,4,20.0,2024-06-14,Yes,USA
1042,Noah Adams,Headphones,Electronics,3,150.0,2024-06-13,No,UK
1043,Mia Evans,Candle Set,Home Goods,1,28.0,2024-06-27,Yes,Canada
1044,Liam Baker,T-Shirt,Apparel,3,25.0,2024-06-28,Yes,UK
1045,Charlotte Wood,Laptop,Electronics,1,1200.0,2024-06-29,Yes,usa
1046,Benjamin Adams,Mug,Home Goods,2,12.5,2024-06-30,No,Germany
1047,Evelyn Rodriguez,Keyboard,Electronics,1,75.5,2024-07-01,Yes,France
1048,Jackson Hall,Jeans,Apparel,1,45.0,2024-07-02,Yes,USA
1049,Abigail Scott,Book,Media,3,18.0,2024-07-03,No,Canada
1050,Daniel Garcia,Jeans,Apparel,3,45.0,2024-07-05,Yes,UK
1051,Robert Brown,T-Shirt,Apparel,5,25.0,2024-07-02,Yes,UK
1052,John Smith,Mouse Pad,Electronics,5,10.0,2024-07-06,Yes,USA
1053,Alice Johnson,Running Shoes,Apparel,1,110.0,2024-07-07,Yes,Canada
1054,Michael Wilson,Blender,Home Goods,1,,2024-07-08,No,USA
1055,Jessica Lee,Monitor,Electronics,1,300.0,2024-07-09,Yes,Germany
1056,David Chen,Socks,Apparel,6,8.5,2024-07-10,Yes,France
1057,Sarah Miller,Toaster,Home Goods,1,39.99,2024-07-11,Yes,USA
1058,Daniel Garcia,External Drive,Electronics,1,85.0,2024-07-12,Yes,Canada
